player,team,pos,pos_rank,tier,pts_proj,vor,score,ppg_proj,adp_overall
Saquon Barkley,,RB,1,1,342.0838928571428,135.93701785714282,131.93701785714282,20.73235714285714,
Jahmyr Gibbs,,RB,2,2,336.1875,130.040625,126.040625,20.375,
Ja'Marr Chase,,WR,1,1,355.0819411764706,121.85929411764707,117.85929411764707,21.520117647058825,
Lamar Jackson,,QB,1,1,392.7636842105263,102.77315921052633,98.77315921052633,23.803859649122806,
Alvin Kamara,,RB,3,3,307.5917307692307,101.44485576923071,97.44485576923071,18.641923076923074,
Josh Allen,,QB,2,1,389.50942105263164,99.51889605263165,95.51889605263165,23.606631578947372,
Bijan Robinson,,RB,4,4,303.8717647058823,97.7248897058823,93.7248897058823,18.416470588235292,
Derrick Henry,,RB,5,4,303.67264086687305,97.52576586687306,93.52576586687306,18.404402476780184,
Kyren Williams,,RB,6,5,292.51397435897434,86.36709935897434,82.36709935897434,17.728119658119656,
CeeDee Lamb,,WR,2,2,319.3355,86.1128529411765,82.1128529411765,19.35366666666667,
Amon-Ra St. Brown,,WR,3,3,317.4997543859649,84.27710732714135,80.27710732714135,19.242409356725144,
De'Von Achane,,RB,7,6,284.89433823529413,78.74746323529413,74.74746323529413,17.266323529411764,
Justin Jefferson,,WR,4,4,310.7353333333333,77.51268627450978,73.51268627450978,18.83244444444444,
Jonathan Taylor,,RB,8,7,279.2955,73.14862500000001,69.14862500000001,16.927,
Brock Bowers,,TE,1,1,243.49972058823528,71.27272058823527,67.27272058823527,14.757558823529411,
Joe Mixon,,RB,9,8,276.54849264705877,70.40161764705877,66.40161764705877,16.76051470588235,
George Kittle,,TE,2,2,241.6862105263158,69.45921052631579,65.45921052631579,14.647649122807017,
Josh Jacobs,,RB,10,8,270.56897435897434,64.42209935897435,60.42209935897435,16.398119658119658,
Puka Nacua,,WR,5,5,297.61346153846154,64.39081447963801,60.39081447963801,18.037179487179486,
Jalen Hurts,,QB,3,2,352.29815789473685,62.307632894736855,58.307632894736855,21.35140350877193,
James Cook,,RB,11,8,264.17368421052623,58.02680921052624,54.02680921052624,16.01052631578947,
Nico Collins,,WR,6,6,291.00661764705876,57.783970588235235,53.783970588235235,17.63676470588235,
Christian McCaffrey,,RB,12,8,263.1532894736842,57.0064144736842,53.0064144736842,15.948684210526315,
Trey McBride,,TE,3,3,228.8416544117647,56.61465441176469,52.61465441176469,13.869191176470588,
Chris Godwin Jr.,,WR,7,7,287.73394736842107,54.511300309597544,50.511300309597544,17.43842105263158,
Malik Nabers,,WR,8,7,287.4168,54.1941529411765,50.1941529411765,17.4192,
James Conner,,RB,13,8,259.936875,53.78999999999999,49.78999999999999,15.75375,
Breece Hall,,RB,14,8,258.48645220588236,52.339577205882364,48.339577205882364,15.665845588235294,
Mike Evans,,WR,9,8,285.3098947368421,52.0872476780186,48.0872476780186,17.291508771929827,
Kenneth Walker III,,RB,15,8,256.06199999999995,49.91512499999996,45.91512499999996,15.518909090909089,
Travis Kelce,,TE,4,4,220.53552631578947,48.308526315789464,44.308526315789464,13.36578947368421,
Jayden Daniels,,QB,4,3,337.368075,47.377549999999985,43.377549999999985,20.44655,
David Njoku,,TE,5,4,219.25588235294117,47.02888235294117,43.02888235294117,13.288235294117646,
Davante Adams,,WR,10,8,276.3507352941176,43.128088235294086,39.128088235294086,16.748529411764704,
David Montgomery,,RB,16,8,245.7081647058823,39.5612897058823,35.5612897058823,14.891403921568624,
Baker Mayfield,,QB,5,4,329.36267543859645,39.372150438596464,35.372150438596464,19.961374269005844,
Tee Higgins,,WR,11,8,270.53125,37.308602941176474,33.308602941176474,16.395833333333332,
Joe Burrow,,QB,6,4,326.142494117647,36.15196911764701,32.15196911764701,19.76621176470588,
Chuba Hubbard,,RB,17,8,239.1717058823529,33.024830882352916,29.024830882352916,14.495254901960783,
Brian Thomas Jr.,,WR,12,8,263.2429411764706,30.02029411764707,26.02029411764707,15.954117647058823,
Tyreek Hill,,WR,13,8,262.8547058823529,29.632058823529377,25.632058823529377,15.930588235294115,
Sam LaPorta,,TE,6,5,200.50848529411763,28.28148529411763,24.28148529411763,12.152029411764705,
A.J. Brown,,WR,14,8,259.0694117647059,25.84676470588235,21.84676470588235,15.701176470588234,
